"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Emmanuel Butler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Quadree Henderson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"Daurice Fountain (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"Austin Proehl (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dylan Cantrell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Davon Grayson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jeff Badet (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chris Lacy (DET)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Da'Mari Scott (BUF)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"Andre Levrone (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Byron Pringle (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Teo Redding (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Christian Blake (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devin Gray (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Steven Dunbar (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Codey McElroy (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Steven Mitchell Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Jordan Veasy (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Rico Gafford (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devin Ross (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Saeed Blacknall (OAK)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"Cam Sims (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"Caleb Scott (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Janarion Grant (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"Deontez Alexander (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Blake Jackson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Shaq Roland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"A.J. Brown (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"D.K. Metcalf (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.9%"
"N'Keal Harry (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.4%"
"Marquise Brown (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.9%"
"Kelvin Harmon (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"Hakeem Butler (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"J.J. Arcega-Whiteside (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"Deebo Samuel (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9%"
"Anthony Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Riley Ridley (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"Shawn Poindexter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jalen Hurd (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"A.J. Richardson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
